,0,1,label
754,1.205600758,-0.285435427,1
769,1.601621693,0.364236198,1
771,0.74044442,0.299438517,1
773,0.783576604,0.521310876,1
774,1.361039341,-0.05356881,1
776,1.313833453,-0.133940493,1
777,1.452079268,0.101433723,1
778,1.533003647,0.239213752,1
779,1.516618126,0.331456389,1
780,1.571674465,0.435179533,1
788,1.60721776,0.38683486,1
790,1.066568299,-0.296010508,1
791,1.066568299,-0.296010508,1
807,1.252097856,-0.193716815,1
810,0.807477829,0.097285679,1
816,0.907957102,0.251969621,1
817,1.321262507,-0.022953092,1
824,0.903580093,-0.366311815,1
827,1.121647207,-0.379203424,1
828,1.015135678,-0.095828673,1
830,1.105752292,-0.075626198,1
831,1.105752292,-0.075626198,1
832,1.260560068,-0.208252751,1
834,1.521878376,0.236661925,1
836,1.25449257,-0.202193326,1
837,1.070925595,-0.244298461,1
838,1.299336333,-0.142233154,1
839,1.200656054,0.673239242,1
842,1.543086605,0.285324278,1
846,1.137283646,-0.413781623,1
847,1.137283646,-0.413781623,1
848,1.440750068,0.102893486,1
849,1.606893027,0.35650365,1
850,1.563244843,0.420827447,1
851,1.556501144,0.409345778,1
852,-0.051906723,-0.705509312,1
853,-0.051906723,-0.705509312,1
876,1.072945043,-0.273639816,1
912,1.229708564,-0.252584924,1
913,1.229708564,-0.252584924,1
914,0.919714178,-0.241901363,1
915,0.919714178,-0.241901363,1
916,1.17289199,-0.357514449,1
917,1.17289199,-0.357514449,1
919,1.244377023,-0.21941583,1
922,1.248082395,-0.245886767,1
1014,1.592483279,0.36123104,1
1015,1.171697054,1.088653187,1
1016,1.593591485,0.472494958,1
1017,1.61102845,0.39280563,1
6,-1.392869499,0.719961028,0
10,-1.563257891,1.187206346,0
11,-1.284681735,1.341449909,0
